chamber,drained_wt_g,filled_wt_g,water_temp_C,water_wt_g,water_volume_L,comments,tank,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,AFDW_wet_wt_g
Chamber 1,2375,5210,,2835,2.835,,1,51.557,0.1744,0.0884,0.6147,5.845,13,0.786,2.463
Chamber 2,1988,4978,,2990,2.99,,3,14.94,0.0507,0.1028,0.6336,5.8243,12,0.7956,3.0313
Chamber 3,2159,5078,,2919,2.919,,3,38.888,0.0932,0.1405,0.5311,5.0209,11,0.8097,2.6929
Chamber 4,2525,5259,,2734,2.734,,3,43.745,0.0496,0.1155,0.501,5.148,10,0.8047,3.8588
Chamber 5,2203,5131,,2928,2.928,,2,25.386,0.043,0.0891,0.611,5.48,9,0.7934,3.9589
Chamber 6,2264,5127,,2863,2.863,,2,33.571,0.0368,0.1014,0.3987,7.5197,8,0.7946,2.9064
Chamber 7,2235,5129,,2894,2.894,,2,31.264,0.0428,0.0894,0.7014,5.1021,7,0.8043,3.2748
Chamber 8,1996,4979,,2983,2.983,,1,27.413,0.0846,0.0886,0.5119,5.3629,6,0.8113,2.3808
Chamber 9,2032,5015,,2983,2.983,,1,25.224,0.0734,0.1401,0.4834,5.7155,5,0.7993,3.343
Chamber 10,2350,5217,,2867,2.867,,3,28.836,0.0697,0.0947,0.461,4.7384,4,0.8089,2.336
Chamber 11,2204,5100,,2896,2.896,,4,31.54,0.0614,0.111,0.4926,5.1493,2,0.7905,3.1503
Chamber 12,2491,5291,,2800,2.8,,1,34.597,0.0827,0.1418,0.4617,5.1442,1,0.8025,3.8319
Chamber 13,2085,5033,,2948,2.948,,4,24.786,0.0818,0.1053,0.4574,6.461,14,0.7853,2.2978
Chamber 14,2119,5059,,2940,2.94,,4,10.127,0.0691,0.1196,0.4834,6.0779,15,0.7805,2.2604
Chamber 15,2301,5163,,2862,2.862,,2,23.745,0.068,0.1723,0.4224,5.1081,16,0.8039,2.9132
Chamber 16,3303,5791,,2488,2.488,,4,43.672,0.0721,0.1481,0.4545,5.0942,17,0.7897,2.2448
