chamber,drained_wt_g,filled_wt_g,water_temp_C,water_wt_g,water_volume_L,comments,tank,total_wet_wt_g,PP_wt_g,chla_wt_g,PC_PN_tin_wt_g,PC_PN_wet_wt_g,AFDW_tin_ID,AFDW_tin_wt_g,SWW_g,SDW_60C_plus_tin_g,SCW_500C_plus_tin_g,SDW_60C_g,SCW_500C_g,total_DW_g,total_AFDW_g,rock_a_axis_diameter_cm,rock_b_axis_diameter_cm,rock_c_axis_diameter_cm,rock_SA_m2,percent_cover
1,2746,5460,,2714,2.714,,,30.4,0.0285,0.1205,0.7806,5.6654,1,0.8064,3.1664,1.993,,1.1866,-0.8064,11.39231935,19.13441132,11.5,11,5,0.017601317,50
2,2455,5272,,2817,2.817,,,22.774,0.0418,0.1069,0.7247,5.0195,2,0.7978,3.077,1.543,,0.7452,-0.7978,5.515497173,11.42030614,10.75,6,7.25,0.013251864,60
3,2869,5595,,2726,2.726,,,12.935,0.0456,0.1089,0.7472,5.156,3,0.8001,3.331,1.952,,1.1519,-0.8001,4.473079105,7.580042029,9.5,9,7.75,0.016095306,
4,2595,5331,,2736,2.736,,,42.414,0.0591,0.1183,0.8422,5.2502,4,0.8011,3.1341,2.069,,1.2679,-0.8011,17.1585816,27.99992534,10,9.25,4.5,0.013115778,75
5,2837,5517,,2680,2.68,,,44.929,0.0804,0.1361,0.8809,5.095,5,0.8024,3.6018,2.837,,2.0346,-0.8024,25.37968333,35.38885363,10,9.5,6.5,0.015746143,75
6,2774,5513,,2739,2.739,,,27.251,0.0857,0.1046,0.8917,5.0719,6,0.8034,3.5128,1.518,,0.7146,-0.8034,5.543601856,11.77608119,12.5,3.75,6.25,0.01104649,75
7,2385,5263,,2878,2.878,,,32.835,0.0644,0.0911,0.7297,5.1207,7,0.8013,4.6307,3.225,,2.4237,-0.8013,17.18577958,22.86757402,10.5,9,3.75,0.012567151,50
8,2032,5049,,3017,3.017,,,22.109,0.0608,0.0982,0.6348,5.0873,8,0.7991,3.1076,2.073,,1.2739,-0.7991,9.063153269,14.74834503,7.5,7.25,3.5,0.007748686,50
9,2564,5378,,2814,2.814,,,25.403,0.0529,0.1123,0.6862,4.9957,9,0.8065,3.0511,1.527,,0.7205,-0.8065,5.998774704,12.71357248,12,8,6.5,0.016131767,80
10,2737,5439,,2702,2.702,,,46.382,0.0506,0.1395,0.7641,5.1495,10,0.8156,4.9706,2.831,,2.0154,-0.8156,18.80623723,26.4168193,14,10,6.75,0.021742777,50
11,2546,5356,,2810,2.81,,,33.563,0.09,0.163,0.9008,6.1675,11,0.8118,3.1088,2.503,,1.6912,-0.8118,18.25841019,27.02270619,10,10.25,6,0.016035587,75
12,2291,5200,,2909,2.909,,,14.709,0.0647,0.1164,0.6014,5.1415,12,0.8026,3.1853,1.382,,0.5794,-0.8026,2.67553907,6.381765611,9,6.75,7.25,0.012325629,
13,2684,5433,,2749,2.749,,,27.304,0.0613,0.0915,0.6356,5.075,13,0.8068,4.0663,1.927,,1.1202,-0.8068,7.52181118,12.93923419,12,10.5,6.75,0.019878793,75
14,2262,5159,,2897,2.897,,,22.552,0.0489,0.1153,0.6613,5.3394,14,0.7867,3.0557,1.941,,1.1543,-0.7867,8.519086821,14.32517328,11,7,4,0.010970153,75
15,2428,5301,,2873,2.873,,,20.166,0.0568,0.11,0.8526,6.3861,15,0.8048,3.0333,1.473,,0.6682,-0.8048,4.442330531,9.792805855,11.5,7.5,6,0.014322191,70
16,2156,5090,,2934,2.934,,,32.956,0.0429,0.0999,0.8124,5.7181,16,0.7988,3.9282,2.059,,1.2602,-0.7988,10.57256535,17.27417239,6.5,7.75,6.25,0.009807548,75
